"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene"
"ACYP2",28.1745379724391,0.0983278450599462,0.105823874421844,0.305544178280323,0.562502864131855,"ACYP2"
"ADA",2.63240040344838,0.268665053698995,0.278461407071377,0.0852569227358624,0.257407570179958,"ADA"
"ADA2",1.14041657687246,-0.0630060458526714,0.243072943920039,0.548129962212104,0.770409707244452,"ADA2"
"ADAL",27.2081360549255,-0.341749142870552,0.121366041205174,0.00188527079679839,0.0143488154231824,"ADAL"
"ADAM10",30.0986423002968,0.288214404878084,0.113862724329586,0.00493895550342897,0.031493664059118,"ADAM10"
"ADAM11",7.23460850700309,0.130821474072139,0.169964776264862,0.311378093220777,0.567956409826641,"ADAM11"
"ADAM12",0.348921958907468,-0.0504922724018824,0.261491280991169,0.631774812751596,NA,"ADAM12"
"ADAM15",2.36248237425415,-0.0613838176073458,0.222125977434107,0.6077690459825,0.808537841546562,"ADAM15"
"ADAM17",78.8806512473955,0.110734688290543,0.0656575400763062,0.0840386534987098,0.255155216965977,"ADAM17"
"ADAM18",0.0752988150429531,-0.00882220862959542,0.25967689644149,0.917672693037491,NA,"ADAM18"
"ADAM19",120.100304023209,-1.17010678380945,0.0783602027162634,1.31724100038216e-51,2.80884898742507e-49,"ADAM19"
"ADAM20",0.0483499649971226,0.01581133056804,0.259524413699677,0.839135338898588,NA,"ADAM20"
"ADAM20P1",0.0292423398347816,-0.00451692188188853,0.259769053234436,0.941474292446394,NA,"ADAM20P1"
"ADAM21",0.110241153045271,0.00139546985024557,0.257912244365705,0.830010422095094,NA,"ADAM21"
"ADAM22",0.144062324950489,0.0226714977649878,0.25846639551679,0.675824710328569,NA,"ADAM22"
"ADAM23",7.09424667250153,0.194702910263561,0.185200211702652,0.155807678276345,0.37834586982513,"ADAM23"
"ADAM28",0.0449318126036145,0.00980137277993161,0.259122234035641,0.856831315361541,NA,"ADAM28"
"ADAM32",0.0982453464850611,0.00999315996447636,0.258719744075007,0.814725231590029,NA,"ADAM32"
